赛季,联赛,排名,球队,积分,场数,胜,平,负,进球,失球
2015,4,1,莱切斯特城,81,38,23,12,3,68,36
2015,4,2,阿森纳,71,38,20,11,7,65,36
2015,4,3,托特纳姆热刺,70,38,19,13,6,69,35
2015,4,4,曼彻斯特城,66,38,19,9,10,71,41
2015,4,5,曼彻斯特联,66,38,19,9,10,49,35
2015,4,6,南安普敦,63,38,18,9,11,59,41
2015,4,7,西汉姆联,62,38,16,14,8,65,51
2015,4,8,利物浦,60,38,16,12,10,63,50
2015,4,9,斯托克城,51,38,14,9,15,41,55
2015,4,10,切尔西,50,38,12,14,12,59,53
2015,4,11,埃弗顿,47,38,11,14,13,59,55
2015,4,12,斯旺西,47,38,12,11,15,42,52
2015,4,13,沃特福德,45,38,12,9,17,40,50
2015,4,14,西布罗姆维奇,43,38,10,13,15,34,48
2015,4,15,水晶宫,42,38,11,9,18,39,51
2015,4,16,伯恩茅斯,42,38,11,9,18,45,67
2015,4,17,桑德兰,39,38,9,12,17,48,62
2015,4,18,纽卡斯尔联,37,38,9,10,19,44,65
2015,4,19,诺维奇城,34,38,9,7,22,39,67
2015,4,20,阿斯顿维拉,17,38,3,8,27,27,76
2016,4,1,切尔西,93,38,30,3,5,85,33
2016,4,2,托特纳姆热刺,86,38,26,8,4,86,26
2016,4,3,曼彻斯特城,78,38,23,9,6,80,39
2016,4,4,利物浦,76,38,22,10,6,78,42
2016,4,5,阿森纳,75,38,23,6,9,77,44
2016,4,6,曼彻斯特联,69,38,18,15,5,54,29
2016,4,7,埃弗顿,61,38,17,10,11,62,44
2016,4,8,南安普敦,46,38,12,10,16,41,48
2016,4,9,伯恩茅斯,46,38,12,10,16,55,67
2016,4,10,西布罗姆维奇,45,38,12,9,17,43,51
2016,4,11,西汉姆联,45,38,12,9,17,47,64
2016,4,12,莱切斯特城,44,38,12,8,18,48,63
2016,4,13,斯托克城,44,38,11,11,16,41,56
2016,4,14,水晶宫,41,38,12,5,21,50,63
2016,4,15,斯旺西,41,38,12,5,21,45,70
2016,4,16,伯恩利,40,38,11,7,20,39,55
2016,4,17,沃特福德,40,38,11,7,20,40,68
2016,4,18,赫尔城,34,38,9,7,22,37,80
2016,4,19,米德尔斯堡,28,38,5,13,20,27,53
2016,4,20,桑德兰,24,38,6,6,26,29,69
2017,4,1,曼彻斯特城,100,38,32,4,2,106,27
2017,4,2,曼彻斯特联,81,38,25,6,7,68,28
2017,4,3,托特纳姆热刺,77,38,23,8,7,74,36
2017,4,4,利物浦,75,38,21,12,5,84,38
2017,4,5,切尔西,70,38,21,7,10,62,38
2017,4,6,阿森纳,63,38,19,6,13,74,51
2017,4,7,伯恩利,54,38,14,12,12,36,39
2017,4,8,埃弗顿,49,38,13,10,15,44,58
2017,4,9,莱切斯特城,47,38,12,11,15,56,60
2017,4,10,纽卡斯尔联,44,38,12,8,18,39,47
2017,4,11,水晶宫,44,38,11,11,16,45,55
2017,4,12,伯恩茅斯,44,38,11,11,16,45,61
2017,4,13,西汉姆联,42,38,10,12,16,48,68
2017,4,14,沃特福德,41,38,11,8,19,44,64
2017,4,15,布赖顿霍夫,40,38,9,13,16,34,54
2017,4,16,哈德斯菲尔德,37,38,9,10,19,28,58
2017,4,17,南安普敦,36,38,7,15,16,37,56
2017,4,18,斯旺西,33,38,8,9,21,28,56
2017,4,19,斯托克城,33,38,7,12,19,35,68
2017,4,20,西布罗姆维奇,31,38,6,13,19,31,56
2018,4,1,曼彻斯特联,0,0,0,0,0,0,0
2018,4,2,伯恩茅斯,0,0,0,0,0,0,0
2018,4,3,切尔西,0,0,0,0,0,0,0
2018,4,4,阿森纳,0,0,0,0,0,0,0
2018,4,5,纽卡斯尔联,0,0,0,0,0,0,0
2018,4,6,托特纳姆热刺,0,0,0,0,0,0,0
2018,4,7,埃弗顿,0,0,0,0,0,0,0
2018,4,8,莱切斯特城,0,0,0,0,0,0,0
2018,4,9,南安普敦,0,0,0,0,0,0,0
2018,4,10,西汉姆联,0,0,0,0,0,0,0
2018,4,11,曼彻斯特城,0,0,0,0,0,0,0
2018,4,12,哈德斯菲尔德,0,0,0,0,0,0,0
2018,4,13,富勒姆,0,0,0,0,0,0,0
2018,4,14,沃特福德,0,0,0,0,0,0,0
2018,4,15,伯恩利,0,0,0,0,0,0,0
2018,4,16,狼队,0,0,0,0,0,0,0
2018,4,17,水晶宫,0,0,0,0,0,0,0
2018,4,18,布赖顿霍夫,0,0,0,0,0,0,0
2018,4,19,加的夫城,0,0,0,0,0,0,0
2018,4,20,利物浦,0,0,0,0,0,0,0
